doc_id,text,incident_type,affected_raw,affected_individuals,credit_monitoring,retraining,technical_safeguards,media_notice
claim_29,"Health, the covered entity (CE), reported that an employee mailed the protected health information (PHI) of 696 individuals to the wrong recipients. The PHI involved included names, addresses, and treatment information. The CE notified HHS and the affected individuals. The CE also took corrective actions in response to the breach, implementing additional administrative, technical, and security safeguards to better protect its PHI.",Wrong recipient,696 individuals,696,0,0,1,0
claim_30,"The covered entity (CE), Meridian Valley Laboratories, Inc., reported that it experienced a hacking incident that affected the protected health information (PHI) of 16,341 individuals. The PHI involved included financial, clinical and demographic information. The CE notified HHS, the affected individuals, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards and retrained workforce members to better protect its PHI.",Hacking,"16,341 individuals",16341,0,1,1,0
claim_31,"The covered entity (CE), Northwest Medical Specialties PLLC, reported that it was the subject of a cyber-attack that affected the protected health information (PHI) of 3,864 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on their website. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Cyberattack,"3,864 individuals",3864,1,0,1,1
claim_32,"The covered entity (CE), Children's Center of Hamden, reported that it was the subject of a cyber-attack that affected the protected health information (PHI) of 5,213 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect its PHI.",Cyberattack,"5,213 individuals",5213,1,1,1,1
claim_33,"The covered entity (CE), Woodlawn Hospital, reported that it experienced a cyber-attack that compromised the protected health information (PHI of 62,278 individuals,",Cyberattack,"62,278 individuals",62278,0,0,0,0
claim_34,"Florida, the covered entity (CE), reported that its business associate (BA) experienced a cybersecurity attack that compromised the protected health information (PHI) of 1,798 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license numbers, social security numbers, diagnoses/conditions, diagnostic imaging, diagnostic test results, lab results, medications, financial and health insurance information, and other treatment information. The CE notified HHS, the affected individuals, and the media about the breach as well as posting substitute notice on its website. In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards to better protect PHI.",Other,"1,798 individuals",1798,0,0,1,1
claim_35,"The covered entity (CE), University of Michigan, reported that an employee mailed a postcard which exposed the protected health information (PHI) of 1,015 individuals. The PHI involved included names, addresses, and diagnoses/conditions. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative and technical safeguards to better protect PHI. Staff were retrained.",Mailing / transport,"1,015 individuals",1015,0,1,1,1
claim_36,"The covered entity (CE), Integrated Orthopedics of Arizona, reported that an employee was the victim of an email phishing scheme that affected the protected health information (PHI) of 2,916 individuals. The PHI involved included demographic, clinical, and financial information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE provided complimentary credit monitoring to the affected individuals and implemented additional administrative and technical safeguards. Staff were retrained.",Phishing,"2,916 individuals",2916,1,1,1,1
claim_37,"The covered entity (CE), Anderson & Kreiger LLP, reported that its business associate (BA) was the subject of a ransomware attack that affected the protected health information (PHI) of 1,607 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on their website.",Ransomware,"1,607 individuals",1607,0,0,0,1
claim_38,"The covered entity (CE), West Texas Oral Facial Surgery, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 11,151 individuals. The PHI involved included demographic and clinical information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect its PHI.",Ransomware,"11,151 individuals",11151,0,1,1,1
claim_39,"The covered entity (CE), AVALA Holdings, reported that multiple employees were the subjects of an email phishing scheme that affected the protected health information (PHI) of 22,732 individuals.",Phishing,"22,732 individuals",22732,0,0,0,0
claim_40,"Center, the business associate (BA), reported that an employee posted the protected health information (PHI) of 529 individuals on its website. The PHI involved included names, addresses, phone numbers, and other identifiers. The BA notified HHS, the affected individuals, and the media. In its mitigation efforts, the BA revised its policies and procedures and implemented additional administrative and security safeguards.",Other,529 individuals,529,0,0,1,1
claim_41,"The covered entity (CE), OB/GYN Medical Center Associates, reported that it experienced a hacking attack that compromised the protected health information (PHI) of 2,132 individuals. The PHI involved included clinical information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI.",Other,"2,132 individuals",2132,0,0,1,1
claim_42,"The business associate (BA), Jack L Marcus, reported that the BA’s website impermissibly disclosed the protected health information (PHI) of 705 individuals. The PHI involved was limited to the treatment facility names where inmates in the Wisconsin Department of Corrections were located. The BA notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the BA implemented additional administrative, technical, and security safeguards. Staff members were retrained.",Other,705 individuals,705,0,1,1,1
claim_43,"The covered entity (CE), Regional Center of the East Bay, reported that an employee sent an email containing the protected health information (PHI) of 689 individuals to an unintended recipient.",Other,689 individuals,689,0,0,0,0
claim_44,"Network, the covered entity (CE), reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 15,410 individuals. The PHI included clinical, demographic and financial information. The CE notified HHS, the affected individuals, the media. and posted substitute notice on its website. In its mitigation efforts, the CE implemented additional technical, administrative and security safeguards.",Phishing,"15,410 individuals",15410,0,0,1,1
claim_45,"The covered entity (CE), Golden State Radiation Oncology, reported that multiple employees of its business associate (BA) was the subject of an email phishing scheme that affected the protected health information (PHI) of 2,130 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect PHI. Cerner reported that it experienced a cyberattack that compromised the protected health information (PHI) of 501 individuals. Cerner was acquired by Oracle Corporation in 2022, and as a result, the investigation has closed since Cerner is no longer a covered entity.",Phishing,"2,130 individuals",2130,1,0,1,1
